id,listing_id,source_name,price,surface,rooms,city,region,zone,transaction_type,property_type,scraped_at,change_type,price_delta,price_delta_pct,reliability_score
1753,tunisieannonce_618309e073a3,tunisieannonce,1800.0,90.0,2.0,Cite Ennasr 2,TUNIS,north,Rent,Apartment,2026-03-26T16:24:10.323495,new,,,90
1697,tunisieannonce_3c99b5c8d35e,tunisieannonce,1220.0,100.0,2.0,Ras Tabia,TUNIS,north,Rent,Commercial,2026-03-26T16:24:18.616257,new,,,85
1888,tunisieannonce_cbf4319fcfbd,tunisieannonce,1220.0,100.0,2.0,Le Bardo,TUNIS,north,Rent,Commercial,2026-03-26T16:24:34.017697,new,,,85
1877,tunisieannonce_be26e4cf7851,tunisieannonce,650000.0,5000.0,,Bir Mcherga,TUNIS,north,Sale,Land,2026-03-26T16:24:48.072492,new,,,90
1706,tunisieannonce_4498a9608f1c,tunisieannonce,360000.0,,,Bir Mcherga,TUNIS,north,Sale,Land,2026-03-26T16:24:57.805194,new,,,75
1709,tunisieannonce_446935f3cf13,tunisieannonce,410000.0,125.0,2.0,La Soukra,TUNIS,north,Sale,Apartment,2026-03-26T16:25:07.855719,new,,,100
1778,tunisieannonce_7601bf5318e2,tunisieannonce,250000.0,269.0,3.0,Ezzouhour 4,TUNIS,north,Sale,Villa,2026-03-26T16:25:18.140052,new,,,100
1707,tunisieannonce_429b6294f997,tunisieannonce,595000.0,148.0,3.0,Berge Du Lac,TUNIS,north,Sale,Commercial,2026-03-26T16:25:27.442310,new,,,80
1689,tunisieannonce_32395bd4ca56,tunisieannonce,3800.0,259.0,3.0,Mutuelle Ville,TUNIS,north,Rent,Villa,2026-03-26T16:25:40.185857,new,,,90
1912,tunisieannonce_e1a2c34f4968,tunisieannonce,1350.0,140.0,2.0,Cite Ennasr 2,TUNIS,north,Rent,Villa,2026-03-26T16:25:50.634679,new,,,90
1659,tunisieannonce_141f8daddc30,tunisieannonce,1320.0,120.0,1.0,Cite Ennasr 2,TUNIS,north,Rent,Apartment,2026-03-26T16:26:00.198955,new,,,90
1831,tunisieannonce_a14e71dbfb12,tunisieannonce,155000.0,500.0,,Bir Mcherga,TUNIS,north,Sale,Land,2026-03-26T16:26:12.659787,new,,,90
1783,tunisieannonce_7b84bd1ab71f,tunisieannonce,1200.0,100.0,2.0,Borj El Baccouche,TUNIS,north,Rent,Other,2026-03-26T16:26:22.193105,new,,,85
