id,ipim_type,property_type,price,currency,city,municipality,region,surface,rooms,price_per_m2,latitude,longitude,reliability_score,reliability_level,is_outlier,scraped_at,last_updated
mubawab:mubawab_8164224,terrain,land,,TND,,,,622.0,1.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-26 16:37:53.372716+00,2026-04-09 15:38:53.321375+00
mubawab:mubawab_8164228,terrain,land,,TND,,Jebel Jelloud,TUNIS,900.0,,,36.7667,10.1833,35.0,LOW,False,2026-03-27 12:50:37.537102+00,2026-04-09 15:38:53.985677+00
mubawab:mubawab_8167149,appartement,apartment,,TND,,,,580.0,7.0,,33.8439408,9.400138,15.0,DROP,False,2026-04-06 09:02:26.620901+00,2026-04-09 15:38:52.427125+00
mubawab:mubawab_8167245,appartement,apartment,,TND,,,,100.0,16.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-29 05:43:57.212785+00,2026-04-09 15:38:50.834975+00
mubawab:mubawab_8169129,appartement,apartment,,TND,,Ariana Ville,ARIANA,,3.0,,36.866011,10.193923,20.0,DROP,False,2026-04-06 08:57:11.148863+00,2026-04-09 15:38:53.119081+00
mubawab:mubawab_8169406,appartement,apartment,,TND,,,,175.0,7.0,,33.8439408,9.400138,15.0,DROP,False,2026-04-06 09:00:14.380759+00,2026-04-09 15:38:51.173039+00
mubawab:mubawab_8171622,maison,villa,,TND,,,,196.0,18.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-29 06:05:05.811775+00,2026-04-09 15:38:51.429102+00
mubawab:mubawab_8176158,appartement,apartment,,TND,,Jebel Jelloud,TUNIS,230.0,6.0,,36.7667,10.1833,35.0,LOW,False,2026-04-06 09:00:04.332421+00,2026-04-09 15:38:51.952491+00
mubawab:mubawab_8183364,appartement,apartment,,TND,,,,80.0,5.0,,33.8439408,9.400138,15.0,DROP,False,2026-04-06 08:57:43.476115+00,2026-04-09 15:38:53.786771+00
mubawab:mubawab_8185172,appartement,apartment,,TND,,,,120.0,2.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 05:38:51.535852+00,2026-04-09 15:38:53.467021+00
mubawab:mubawab_8189013,terrain,land,,TND,,,,3634.0,,,33.8439408,9.400138,15.0,DROP,False,2026-03-27 12:52:33.67019+00,2026-04-09 15:38:54.82261+00
mubawab:mubawab_8189506,appartement,apartment,,TND,,,,154.0,3.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 05:40:06.055775+00,2026-04-09 15:38:52.062944+00
mubawab:mubawab_8194985,appartement,apartment,,TND,,,,105.0,4.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 05:40:48.499978+00,2026-04-09 15:38:50.932357+00
mubawab:mubawab_8198766,appartement,apartment,,TND,,Jebel Jelloud,TUNIS,156.0,4.0,,36.7667,10.1833,40.0,LOW,False,2026-03-27 05:38:56.26815+00,2026-04-09 15:38:54.230343+00
mubawab:mubawab_8210272,maison,villa,,TND,,Jebel Jelloud,TUNIS,400.0,4.0,,36.7667,10.1833,45.0,LOW,False,2026-03-27 12:46:51.567019+00,2026-04-09 15:38:51.328003+00
mubawab:mubawab_8211968,maison,villa,,TND,,,,254.0,6.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 08:14:17.155977+00,2026-04-09 15:38:54.619537+00
mubawab:mubawab_8212588,maison,villa,,TND,,,,245.0,9.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 08:58:30.9556+00,2026-04-09 15:38:53.882996+00
mubawab:mubawab_8214838,maison,villa,,TND,,,,214.0,,,33.8439408,9.400138,15.0,DROP,False,2026-03-27 08:57:53.36537+00,2026-04-09 15:38:51.482899+00
mubawab:mubawab_8217405,appartement,apartment,,TND,,,,145.0,9.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 05:41:29.40921+00,2026-04-09 15:38:54.474038+00
mubawab:mubawab_8219101,maison,villa,,TND,,Jebel Jelloud,TUNIS,156.0,3.0,,36.7667,10.1833,45.0,LOW,False,2026-03-27 08:58:40.826524+00,2026-04-09 15:38:51.638104+00
mubawab:mubawab_8223097,maison,villa,,TND,,Jebel Jelloud,TUNIS,320.0,4.0,,36.7667,10.1833,45.0,LOW,False,2026-03-27 12:48:30.265539+00,2026-04-09 15:38:53.834923+00
mubawab:mubawab_8226515,maison,villa,,TND,,,,203.0,6.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 08:56:01.819926+00,2026-04-09 15:38:52.270845+00
mubawab:mubawab_8227631,appartement,apartment,,TND,,Jebel Jelloud,TUNIS,85.0,3.0,,36.7667,10.1833,30.0,LOW,False,2026-04-06 08:58:01.259613+00,2026-04-09 15:38:52.576813+00
mubawab:mubawab_8234831,maison,villa,,TND,,,,500.0,19.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 08:58:34.704456+00,2026-04-09 15:38:52.421854+00
mubawab:mubawab_8235414,appartement,apartment,,TND,Hammam Sousse,Hammam Sousse,SOUSSE,145.0,2.0,,35.8592,10.59,75.0,GOOD,False,2026-03-29 05:51:52.128239+00,2026-04-09 15:38:54.774879+00
mubawab:mubawab_8239703,terrain,land,,TND,,,,1277.0,,,33.8439408,9.400138,15.0,DROP,False,2026-03-27 12:50:09.020601+00,2026-04-09 15:38:53.5782+00
mubawab:mubawab_8240197,appartement,apartment,,TND,,,,117.0,15.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 05:41:19.541204+00,2026-04-09 15:38:53.690034+00
mubawab:mubawab_8240198,appartement,apartment,,TND,,,,100.0,10.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 05:41:24.038302+00,2026-04-09 15:38:51.786735+00
mubawab:mubawab_8240199,appartement,apartment,,TND,,,,90.0,3.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 05:41:08.919466+00,2026-04-09 15:38:51.375999+00
mubawab:mubawab_8240435,terrain,land,,TND,,,,304.0,,,33.8439408,9.400138,15.0,DROP,False,2026-03-27 12:51:36.246489+00,2026-04-09 15:38:51.222292+00
mubawab:mubawab_8240827,maison,villa,,TND,,,,902.0,5.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 08:56:56.433965+00,2026-04-09 15:38:52.9255+00
